taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2473958	Perdix perdix (Linnaeus, 1758)	2473958	Perdix perdix (Linnaeus, 1758)	784	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Perdix	2473953	Perdix perdix	2473958	LC
2482054	Podiceps cristatus (Linnaeus, 1758)	2482054	Podiceps cristatus (Linnaeus, 1758)	17530	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Podicipediformes	7191588	Podicipedidae	9338	Podiceps	2482049	Podiceps cristatus	2482054	LC
2498036	Anser anser (Linnaeus, 1758)	2498036	Anser anser (Linnaeus, 1758)	24313	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Anser	2498016	Anser anser	2498036	LC
4408790	Turdus atrogularis Jarocki, 1819	4408790	Turdus atrogularis Jarocki, 1819	41	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Turdus	2490714	Turdus atrogularis	4408790	LC
9616058	Falco tinnunculus Linnaeus, 1758	9616058	Falco tinnunculus Linnaeus, 1758	13830	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Falconiformes	7191407	Falconidae	5240	Falco	2480996	Falco tinnunculus	9616058	LC
2480801	Platalea leucorodia Linnaeus, 1758	2480801	Platalea leucorodia Linnaeus, 1758	6893	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Threskiornithidae	5288	Platalea	2480798	Platalea leucorodia	2480801	LC
2481218	Rhodostethia rosea (MacGillivray, 1824)	2481218	Rhodostethia rosea (MacGillivray, 1824)	80	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Rhodostethia	2481217	Rhodostethia rosea	2481218	LC
2481776	Arenaria interpres (Linnaeus, 1758)	2481776	Arenaria interpres (Linnaeus, 1758)	3372	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Arenaria	2481774	Arenaria interpres	2481776	LC
2490307	Motacilla citreola Pallas, 1776	2490307	Motacilla citreola Pallas, 1776	11	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Motacillidae	5257	Motacilla	2490295	Motacilla citreola	2490307	LC
9282206	Strix aluco Linnaeus, 1758	9282206	Strix aluco Linnaeus, 1758	936	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Strix	2497486	Strix aluco	9282206	LC
